# Performance Monitoring Events for Intel Atom Processors Based on the Goldmont Microarchitecture - V8
# 8/16/2016 1:31:03 PM
# Copyright (c) 2007 - 2016 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	PEBScounters	SampleAfterValue	MSRIndex	MSRValue	CollectPEBSRecord	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	Errata
0xB7	0x01,0x02	OFFCORE_RESPONSE.SW_PREFETCH.L2_MISS.HIT_OTHER_CORE_NO_FWD	Counts data cache lines requests by software prefetch instructions that miss the L2 cache with a snoop hit in the other processor module, no data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0400001000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.SW_PREFETCH.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED	Counts data cache lines requests by software prefetch instructions that true miss for the L2 cache with a snoop miss in the other processor module. 	0,1,2,3	0	100007	0x1a6,0x1a7	0x0200001000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.SW_PREFETCH.L2_HIT	Counts data cache lines requests by software prefetch instructions that hit the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0000041000 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.FULL_STREAMING_STORES.L2_MISS.ANY	Counts full cache line data writes to uncacheable write combining (USWC) memory region and full cache-line non-temporal writes that miss the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x3600000800 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.FULL_STREAMING_STORES.L2_MISS.HITM_OTHER_CORE	Counts full cache line data writes to uncacheable write combining (USWC) memory region and full cache-line non-temporal writes that miss the L2 cache with a snoop hit in the other processor module, data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x1000000800 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.FULL_STREAMING_STORES.L2_MISS.HIT_OTHER_CORE_NO_FWD	Counts full cache line data writes to uncacheable write combining (USWC) memory region and full cache-line non-temporal writes that miss the L2 cache with a snoop hit in the other processor module, no data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0400000800 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.FULL_STREAMING_STORES.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED	Counts full cache line data writes to uncacheable write combining (USWC) memory region and full cache-line non-temporal writes that true miss for the L2 cache with a snoop miss in the other processor module. 	0,1,2,3	0	100007	0x1a6,0x1a7	0x0200000800 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.FULL_STREAMING_STORES.L2_HIT	Counts full cache line data writes to uncacheable write combining (USWC) memory region and full cache-line non-temporal writes that hit the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0000040800 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.BUS_LOCKS.ANY_RESPONSE	Counts bus lock and split lock requests that have any transaction responses from the uncore subsystem.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0000010400 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PARTIAL_WRITES.L2_MISS.ANY	Counts the number of demand write requests (RFO) generated by a write to partial data cache line, including the writes to uncacheable (UC) and write through (WT), and write protected (WP) types of memory that miss the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x3600000100 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PARTIAL_READS.L2_MISS.ANY	Counts demand data partial reads, including data in uncacheable (UC) or uncacheable write combining (USWC) memory types that miss the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x3600000080 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PF_L2_RFO.L2_MISS.ANY	Counts reads for ownership (RFO) requests generated by L2 prefetcher that miss the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x3600000020 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PF_L2_RFO.L2_MISS.HITM_OTHER_CORE	Counts reads for ownership (RFO) requests generated by L2 prefetcher that miss the L2 cache with a snoop hit in the other processor module, data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x1000000020 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PF_L2_RFO.L2_MISS.HIT_OTHER_CORE_NO_FWD	Counts reads for ownership (RFO) requests generated by L2 prefetcher that miss the L2 cache with a snoop hit in the other processor module, no data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0400000020 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PF_L2_RFO.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED	Counts reads for ownership (RFO) requests generated by L2 prefetcher that true miss for the L2 cache with a snoop miss in the other processor module. 	0,1,2,3	0	100007	0x1a6,0x1a7	0x0200000020 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PF_L2_RFO.L2_HIT	Counts reads for ownership (RFO) requests generated by L2 prefetcher that hit the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0000040020 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PF_L2_DATA_RD.L2_MISS.ANY	Counts data cacheline reads generated by hardware L2 cache prefetcher that miss the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x3600000010 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PF_L2_DATA_RD.L2_MISS.HITM_OTHER_CORE	Counts data cacheline reads generated by hardware L2 cache prefetcher that miss the L2 cache with a snoop hit in the other processor module, data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x1000000010 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PF_L2_DATA_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD	Counts data cacheline reads generated by hardware L2 cache prefetcher that miss the L2 cache with a snoop hit in the other processor module, no data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0400000010 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PF_L2_DATA_RD.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED	Counts data cacheline reads generated by hardware L2 cache prefetcher that true miss for the L2 cache with a snoop miss in the other processor module. 	0,1,2,3	0	100007	0x1a6,0x1a7	0x0200000010 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.PF_L2_DATA_RD.L2_HIT	Counts data cacheline reads generated by hardware L2 cache prefetcher that hit the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0000040010 	0	0	0	0	0	0	0	null
