# Performance Monitoring Events for Intel(R) Xeon(R) processor E5 family and Intel(R) Xeon(R) processor E7 family Based on the Ivy Bridge-EP Microarchitecture - V17
# 7/29/2015 2:56:15 PM
# Copyright (c) 2007 - 2014 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	CounterHTOff	SampleAfterValue	MSRIndex	MSRValue	TakenAlone	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	PRECISE_STORE	Errata
0xBB	0x01	OFFCORE_RESPONSE.ALL_PF_DATA_RD.LLC_HIT.NO_SNOOP_NEEDED_1	Counts prefetch data reads that hit in the LLC and sibling core snoops are not needed as either the core-valid bit is not set or the shared line is present in multiple cores	3	3	100003	0x1a7	0x1003c0090	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_PF_DATA_RD.LLC_HIT.SNOOP_MISS_1	Counts prefetch data reads that hit in the LLC and sibling core snoop returned a clean response	3	3	100003	0x1a7	0x2003c0090	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_READS.LLC_HIT.ANY_RESPONSE_1	Counts all data/code/rfo reads (demand & prefetch) that hit in the LLC	3	3	100003	0x1a7	0x3f803c03f7	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_READS.LLC_HIT.HIT_OTHER_CORE_NO_FWD_1	Counts all data/code/rfo reads (demand & prefetch) that hit in the LLC and the snoops to sibling cores hit in either E/S state and the line is not forwarded	3	3	100003	0x1a7	0x4003c03f7	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_READS.LLC_HIT.HITM_OTHER_CORE_1	Counts all data/code/rfo reads (demand & prefetch) that hit in the LLC and the snoop to one of the sibling cores hits the line in M state and the line is forwarded	3	3	100003	0x1a7	0x10003c03f7	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_READS.LLC_HIT.NO_SNOOP_NEEDED_1	Counts all data/code/rfo reads (demand & prefetch) that hit in the LLC and sibling core snoops are not needed as either the core-valid bit is not set or the shared line is present in multiple cores	3	3	100003	0x1a7	0x1003c03f7	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_READS.LLC_HIT.SNOOP_MISS_1	Counts all data/code/rfo reads (demand & prefetch) that hit in the LLC and sibling core snoop returned a clean response	3	3	100003	0x1a7	0x2003c03f7	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_READS.LLC_MISS.ANY_RESPONSE_1	Counts all data/code/rfo reads (demand & prefetch) that hit the LLC	3	3	100003	0x1a7	0x3fffc203f7	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_READS.LLC_MISS.LOCAL_DRAM_1	Counts all data/code/rfo reads (demand & prefetch) that miss the LLC  and the data returned from local dram	3	3	100003	0x1a7	0x6004003f7	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_READS.LLC_MISS.REMOTE_HIT_FORWARD_1	Counts all data/code/rfo reads (demand & prefetch) that miss the LLC  and the data forwarded from remote cache	3	3	100003	0x1a7	0x87f8203f7	0	0	0	0	0	0	0	null
0xBB	0x01	OFFCORE_RESPONSE.ALL_READS.LLC_MISS.REMOTE_HITM_1	Counts all data/code/rfo reads (demand & prefetch) that miss the LLC  the data is found in M state in remote cache and forwarded from there	3	3	100003	0x1a7	0x107fc003f7	0	0	0	0	0	0	0	null
